Time,P_grid,P_sell,P_ch,P_dis,P_demand,E,R_ch,R_dis,SOH,Q_loss,N_cycle,u_grid,u_sell,u_ch,u_dis,Q_loss_cyc,FEC,DOD,P_shift_up_1,u_shift_up_1,P_shift_up_2,u_shift_up_2,P_shift_up_3,u_shift_up_3,P_shift_up_4,u_shift_up_4,P_shift_up_5,u_shift_up_5,P_shift_up_6,u_shift_up_6,P_shift_up_7,u_shift_up_7,P_shift_up_8,u_shift_up_8
65,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
66,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
67,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
68,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
69,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
70,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
71,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
72,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
73,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
74,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
75,4.1,0.0,0.0,0.0,2.05,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
76,4.1,0.0,0.0,0.0,2.05,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
77,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
78,1.4,0.0,0.0,0.0,0.7,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
79,7.0,0.0,0.0,0.0,3.5,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5,1.0
80,4.2,0.0,0.0,0.0,2.1,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.2,1.0,0.5,1.0
81,4.2,0.0,0.0,0.0,2.1,0.18421053,0.0,0.0,4.939450091050437,,0.5,1.0,0.0,0.0,0.0,0.06054990894956286,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.2,1.0,0.5,1.0
